company,name,sector,sector_name,scope1,scope2,emissions,market_value,revenues,carbon_footprint,intensity
xec,CIMAREX EN.,10,Energy,,,,4992.77,2314.588,,
gps,GAP,25,Consumer Discretionary,26.32,382.822,409.142,6353.55,16580.0,64.39581021633575,24.676839565741858
hrb,H&R BLOCK,25,Consumer Discretionary,,,,4590.23,3094.881,,
hbi,HANESBRANDS,25,Consumer Discretionary,90.722,217.673,308.395,5490.56,6803.955,56.1682232777713,45.325843571863714
hog,HARLEY-DAVIDSON,25,Consumer Discretionary,42.017,102.232,144.249,5901.68,5716.875,24.442023288284012,25.232141685798624
hfc,HOLLYFRONTIER,10,Energy,4883.21455,,,8142.11,17714.666,,
ipgp,IPG PHOTONICS,45,IT,,,,7599.63,1459.874,,
lb,L BRANDS,25,Consumer Discretionary,24.399,259.475,283.874,5109.25,13237.0,55.560796594412096,21.445493691924153
leg,LEGGETT&PLATT,25,Consumer Discretionary,,,,6824.92,4269.5,,
nwl,NEWELL BRANDS (XSC),25,Consumer Discretionary,,,,8230.89,8630.9,,
jwn,NORDSTROM,25,Consumer Discretionary,47.957,208.888,256.845,6162.0,15860.0,41.68208373904577,16.194514501891554
pnr,PENTAIR,20,Industrial,,,,7727.23,2965.1,,
pbct,PEOPLES UNITED FINCIAL,40,Financial,,,,7550.73,1922.7,,
prgo,PERRIGO,35,Health Care,49.69900131,98.6289978,148.32799911,7422.05,4731.7,19.98477497591636,31.34771839085319
rhi,ROBERT HALF INTL.,20,Industrial,,,,7196.83,5800.271,,
see,SEALED AIR,15,Materials,182.471,397.117,579.588,5979.76,4732.7,96.92496019907152,122.46455511652968
slg,SL GREEN REALTY,60,Real Estate,10.34599972,94.32299805,104.66899776999999,7100.17,1227.392,14.741759390268118,85.27756231912868
amg,AFFILIATED MAGERS,40,Financial,0.32601,0.85273,1.17874,4283.72,,0.27516737788650986,
ads,ALLIANCE DATA SYSTEMS,45,IT,2.275,39.231,41.506,5017.36,7791.2,8.27247795653491,5.327292329807989
cpri,CAPRI HOLDINGS,25,Consumer Discretionary,,,,5962.31,5238.0,,
disca,DISCOVERY SERIES A,50,Communication Services,,,,5117.41,10553.0,,
fls,FLOWSERVE,20,Industrial,,,,6488.04,3832.666,,
hp,HELMERICH & PAYNE,10,Energy,,,,4620.91,2798.49,,
mac,MACERICH,60,Real Estate,12.74124,47.406,60.14724,3743.53,,16.066984904622107,
nwsa,NEWS 'A',50,Communication Services,28.356311,173.658313,202.014624,5358.2,10074.0,37.70195662722556,20.053069684335913
pwr,QUANTA SERVICES,20,Industrial,,,,5912.3,11171.423,,
trip,TRIPADVISOR 'A',50,Communication Services,,,,3728.13,,,
unm,UNUM GROUP,40,Financial,6.099,18.82,24.919,6396.38,11598.5,3.895797310353669,2.1484674742423593
brk/b,BERKSHIRE HATHAWAY 'B',40,Financial,,,,312541.0,225382.0,,
goog,ALPHABET 'C',50,Communication Services,66.549,3301.392,3367.941,463886.0,136819.0,7.2602773095113875,24.616032860933057
disck,DISCOVERY SERIES C,50,Communication Services,,,,10855.98,10553.0,,
fox,FOX B,50,Communication Services,60.395,120.093,180.488,9571.59,11389.0,18.856637194029414,15.847572218807622
nws,NEWS 'B',50,Communication Services,28.356311,173.658313,202.014624,2800.81,10074.0,72.12721462719713,20.053069684335913
ua,UNDER ARMOUR 'C',25,Consumer Discretionary,,,,4008.28,5193.185,,
viab,VIACOM 'B' DEAD - DELIST.05/12/19,50,Communication Services,,,,8573.32,,,
